Energia,Corrente,Voltaggio,ActivePower,Response,Waste
471.270,27.5100,205.8000,12.8900,0.167,0.00
471.270,27.6700,206.0000,12.9700,0.167,0.00
471.270,28.3900,206.0000,13.4400,-0.03,0.00
471.270,27.8800,206.2000,13.2100,-0.034,0.00
471.271,28.0500,206.0000,13.2400,-0.197,0.00
471.271,28.3400,205.8000,13.3200,-0.179,0.98
471.270,27.8200,206.1000,13.1000,0.118,1.06
471.271,28.0200,206.1000,13.2100,-0.015,0.92
471.272,27.4700,206.3000,12.8800,-0.032,25.7
471.272,28.0000,206.2000,13.2000,0.02,22.67
471.272,27.7600,206.1000,13.0700,0.083,46.96
471.272,27.8900,206.0000,13.1700,-0.273,0.41
471.272,28.1000,205.8000,13.3100,-0.271,0.99
471.273,28.2400,205.8000,13.3100,0.167,0.34
471.273,28.2200,205.7000,13.2800,-0.213,0.04
471.273,27.5200,206.0000,12.8100,-0.023,2.90
471.273,27.7200,206.1000,12.9800,-0.192,15.13
471.274,27.4800,206.4000,12.9500,-0.088,31.17
471.274,28.3000,206.3000,13.4300,0.001,42.75
471.274,28.0000,206.1000,13.1900,0.00,2.47
471.274,28.2100,206.2000,13.2800,0.001,3.9
471.274,28.2900,206.1000,13.3500,0.00,0.24
471.275,27.7100,206.3000,13.0600,0.01,4.33
471.275,28.0000,206.0000,13.2400,-0.223,0.00
471.275,27.8200,206.1000,13.1200,-0.03,0.00
471.275,28.2800,206.1000,13.2900,-0.001,0.00
471.275,27.2400,206.0000,13.3000,-0.164,0.00
471.276,27.8200,206.4000,13.1100,-0.077,0.00
471.276,27.3100,206.3000,12.8100,0.06,30.35
471.276,27.8400,206.3000,13.0700,-0.157,18.77
